品类,商品件数,销售额（元）,订单数
美妆个护,9670,1258681.34,8836
钟表礼品,5991,1205005.68,5624
床品浴品桌布,11115,1036988.68,9417
运动休闲,8641,988048.97,7720
电脑配件,7827,911954.32,6689
家居装饰,8334,729762.49,6449
潮流杂货,3796,635290.85,3632
家居日用,6964,632248.66,5884
汽车用品,4235,592720.11,3897
园林工具,4347,485256.46,3518
玩具,4117,483946.60,3886
母婴用品,3065,411764.89,2885
香水,3419,399124.87,3162
手机通讯,4545,323667.53,4199
办公家具,1691,273960.70,1273
文具,2517,230943.23,2311
电脑,203,222963.13,181
宠物用品,1947,214315.41,1710
乐器,680,191498.88,628
小家电,679,190648.58,630
（未分类）,1603,179535.28,1451
电子产品,2767,160246.74,2550
游戏主机,1137,157465.22,1062
箱包配饰,2031,152823.54,1864
建筑工具,929,144677.59,748
行李箱与配件,1092,140429.98,1034
家用电器（二类）,238,113317.74,234
家装建材,604,83088.12,490
家用电器,771,80171.53,764
农牧与工商业,212,72530.47,182
客厅家具,503,68916.56,422
固定电话,264,59583.00,217
家居舒适,434,58572.04,397
空调,297,55024.96,253
音频设备,364,50688.50,350
小家电（烤箱与咖啡）,76,47445.71,75
一般图书,553,46856.88,512
厨卫与庭院家具,281,46328.37,248
建筑照明,304,41080.00,244
建筑安全用品,194,40544.52,167
工业与商贸,268,39669.61,235
食品,510,29393.41,450
平台自营市场,311,28378.47,280
园艺工具,238,25715.89,194
艺术品,209,24202.64,202
鞋履,262,23562.77,240
饮品,379,22428.70,297
标识与安防,199,21509.23,140
卧室家具,109,20028.78,95
技术图书,267,19096.06,260
五金工具,103,15903.95,97
食品饮料,278,15179.48,227
男装,132,10797.82,112
内衣与沙滩装,131,9541.55,121
圣诞用品,153,8800.82,128
平板与打印影像,83,7528.41,79
影像摄影,72,6933.46,65
音乐,38,6034.35,38
DVD 与蓝光,64,5999.39,59
进口图书,60,4639.85,53
派对用品,43,4485.18,39
床垫与软包家具,38,4368.08,38
portateis_cozinha_e_preparadores_de_alimentos,15,3968.53,14
女装,48,2803.64,39
运动时尚,30,2119.51,27
厨房精品,14,2054.99,13
手工艺品,24,1814.01,23
纸尿裤与卫生用品,39,1567.59,27
pc_gamer,9,1545.95,8
鲜花,33,1110.04,29
家居舒适（二类）,30,760.27,24
音乐 CD / DVD,14,730.00,12
童装,8,569.85,8
安防与服务,2,283.29,2
