州代码,州,订单数,成交额（元）,客单价（元）,平均配送天数
SP,圣保罗,41745,5998226.96,143.69,8.3
RJ,里约热内卢,12852,2144379.69,166.85,14.8
MG,米纳斯吉拉斯,11635,1872257.26,160.92,11.5
RS,南里奥格兰德,5466,890898.54,162.99,14.8
PR,巴拉那,5045,811156.38,160.78,11.5
SC,圣卡塔琳娜,3637,623086.43,171.32,14.5
BA,巴伊亚,3380,616645.82,182.44,18.9
DF,联邦区,2140,355141.08,165.95,12.5
GO,戈亚斯,2020,350092.31,173.31,15.2
ES,圣埃斯皮里图,2033,325967.55,160.34,15.3
PE,伯南布哥,1652,324850.44,196.64,18.0
CE,塞阿拉,1336,279464.03,209.18,20.8
PA,帕拉,975,218295.85,223.89,23.3
MT,马托格罗索,907,187029.29,206.21,17.6
MA,马拉尼昂,747,152523.02,204.18,21.1
PB,帕拉伊巴,536,141545.72,264.08,20.0
MS,南马托格罗索,715,137534.84,192.36,15.2
PI,皮奥伊,495,108523.97,219.24,19.0
RN,北里奥格兰德,485,102718.13,211.79,18.8
AL,阿拉戈斯,413,96962.06,234.77,24.0
SE,塞尔希培,350,75246.25,214.99,21.0
TO,托坎廷斯,280,61485.33,219.59,17.2
RO,朗多尼亚,253,60866.20,240.58,18.9
AM,亚马孙,148,27966.93,188.97,26.0
AC,阿克里,81,19680.62,242.97,20.6
AP,阿马帕,68,16262.80,239.16,26.7
RR,罗赖马,46,10064.62,218.80,29.0
