月份,月份显示,是否完整月,订单数,成交额（元）,客单价（元）
2016-09,2016 年 9 月,否,3,252.24,84.08
2016-10,2016 年 10 月,否,324,59090.48,182.38
2016-12,2016 年 12 月,否,1,19.62,19.62
2017-01,2017 年 1 月,是,800,138488.04,173.11
2017-02,2017 年 2 月,是,1780,291908.01,163.99
2017-03,2017 年 3 月,是,2682,449863.60,167.73
2017-04,2017 年 4 月,是,2404,417788.03,173.79
2017-05,2017 年 5 月,是,3700,592918.82,160.25
2017-06,2017 年 6 月,是,3245,511276.38,157.56
2017-07,2017 年 7 月,是,4026,592382.92,147.14
2017-08,2017 年 8 月,是,4331,674396.32,155.71
2017-09,2017 年 9 月,是,4285,727762.45,169.84
2017-10,2017 年 10 月,是,4631,779677.88,168.36
2017-11,2017 年 11 月,是,7544,1194882.80,158.39
2017-12,2017 年 12 月,是,5673,878401.48,154.84
2018-01,2018 年 1 月,是,7269,1115004.18,153.39
2018-02,2018 年 2 月,是,6728,992463.34,147.51
2018-03,2018 年 3 月,是,7211,1159652.12,160.82
2018-04,2018 年 4 月,是,6939,1160785.48,167.28
2018-05,2018 年 5 月,是,6873,1153982.15,167.90
2018-06,2018 年 6 月,是,6167,1023880.50,166.03
2018-07,2018 年 7 月,是,6292,1066540.75,169.51
2018-08,2018 年 8 月,是,6512,1022425.32,157.01
2018-09,2018 年 9 月,否,16,4439.54,277.47
2018-10,2018 年 10 月,否,4,589.67,147.42
